prior_sd,BF,interval_range
1.5,0.6770219215107333,"[-0.1, 0.1]"
1.5,0.1204880807056727,"[-0.25, 0.25]"
1.5,0.001307473709194955,"[-0.5, 0.5]"
1.5,4.153254038434826e-6,"[-0.75, 0.75]"
1.5,1.1373567048368098e-8,"[-1, 1]"
2,0.4244468251404025,"[-0.1, 0.1]"
2,0.08344017670591321,"[-0.25, 0.25]"
2,0.0012165802273389266,"[-0.5, 0.5]"
2,6.60663615252739e-6,"[-0.75, 0.75]"
2,3.4303850359681926e-8,"[-1, 1]"
2.5,0.33877259421488565,"[-0.1, 0.1]"
2.5,0.07189799961333809,"[-0.25, 0.25]"
2.5,8.8309521174205e-4,"[-0.5, 0.5]"
2.5,1.7001125893171226e-6,"[-0.75, 0.75]"
2.5,3.1528557768802813e-9,"[-1, 1]"
3,0.2843811076001868,"[-0.1, 0.1]"
3,0.05957652370278045,"[-0.25, 0.25]"
3,6.317837016403472e-4,"[-0.5, 0.5]"
3,1.2477040967795415e-6,"[-0.75, 0.75]"
3,2.2282832181979853e-9,"[-1, 1]"
3.5,0.23636579546227401,"[-0.1, 0.1]"
3.5,0.04735048100768747,"[-0.25, 0.25]"
3.5,5.947272375520162e-4,"[-0.5, 0.5]"
3.5,2.5147849167650494e-6,"[-0.75, 0.75]"
3.5,8.45375742541349e-9,"[-1, 1]"
