prior_sd,BF,interval_range
1.5,0.0576670344089246,"[-0.1, 0.1]"
1.5,0.013212086874253329,"[-0.25, 0.25]"
1.5,2.8280931016101956e-4,"[-0.5, 0.5]"
1.5,4.453424493966544e-6,"[-0.75, 0.75]"
1.5,6.251981821384342e-8,"[-1, 1]"
2,0.0408922890775901,"[-0.1, 0.1]"
2,0.00959243845891945,"[-0.25, 0.25]"
2,1.161076989207408e-4,"[-0.5, 0.5]"
2,8.992478952834921e-7,"[-0.75, 0.75]"
2,6.6294963537519345e-9,"[-1, 1]"
2.5,0.03348668157010959,"[-0.1, 0.1]"
2.5,0.007988197570760658,"[-0.25, 0.25]"
2.5,1.7666380266248777e-4,"[-0.5, 0.5]"
2.5,2.6254617507426663e-6,"[-0.75, 0.75]"
2.5,4.1040891601164096e-8,"[-1, 1]"
3,0.02937392696117893,"[-0.1, 0.1]"
3,0.006142278880482989,"[-0.25, 0.25]"
3,1.423354771669982e-4,"[-0.5, 0.5]"
3,2.576134817873103e-6,"[-0.75, 0.75]"
3,4.077986145878146e-8,"[-1, 1]"
3.5,0.022233019209580148,"[-0.1, 0.1]"
3.5,0.0046657086453657515,"[-0.25, 0.25]"
3.5,4.5897629521085343e-5,"[-0.5, 0.5]"
3.5,3.511232743693415e-7,"[-0.75, 0.75]"
3.5,2.3444388128048873e-9,"[-1, 1]"
