prior_sd,BF,interval_range
1.5,0.03607988940140224,"[-0.1, 0.1]"
1.5,0.004849050391276303,"[-0.25, 0.25]"
1.5,2.2879194401285462e-4,"[-0.5, 0.5]"
1.5,2.2656791834206898e-5,"[-0.75, 0.75]"
1.5,4.5067312026131094e-6,"[-1, 1]"
2,0.024741590769059033,"[-0.1, 0.1]"
2,0.003572178198460807,"[-0.25, 0.25]"
2,3.6269276776835433e-5,"[-0.5, 0.5]"
2,3.2694259615755335e-7,"[-0.75, 0.75]"
2,2.5846382986835356e-9,"[-1, 1]"
2.5,0.019358396219136625,"[-0.1, 0.1]"
2.5,0.002968098359125072,"[-0.25, 0.25]"
2.5,1.0213805363268098e-4,"[-0.5, 0.5]"
2.5,2.6299933791830138e-6,"[-0.75, 0.75]"
2.5,5.7226021501209256e-8,"[-1, 1]"
3,0.015354184995884196,"[-0.1, 0.1]"
3,0.0018205278320233506,"[-0.25, 0.25]"
3,2.2925274588726643e-5,"[-0.5, 0.5]"
3,2.1699038090859675e-7,"[-0.75, 0.75]"
3,1.8411917970726162e-9,"[-1, 1]"
3.5,0.01176216693977232,"[-0.1, 0.1]"
3.5,0.0018231549047360335,"[-0.25, 0.25]"
3.5,1.8838517110653317e-5,"[-0.5, 0.5]"
3.5,1.4208363094546138e-7,"[-0.75, 0.75]"
3.5,1.3037153124419492e-9,"[-1, 1]"
