prior_sd,BF,interval_range
1.5,0.0606793679070743,"[-0.1, 0.1]"
1.5,0.013113477448416724,"[-0.25, 0.25]"
1.5,2.3605333656687625e-5,"[-0.5, 0.5]"
1.5,1.7832777392571412e-8,"[-0.75, 0.75]"
1.5,1.56869674227052e-11,"[-1, 1]"
2,0.048528314375147714,"[-0.1, 0.1]"
2,0.00919900860242384,"[-0.25, 0.25]"
2,6.519512157431572e-5,"[-0.5, 0.5]"
2,3.0642147521311224e-7,"[-0.75, 0.75]"
2,1.0707057145787907e-9,"[-1, 1]"
2.5,0.04143156225041823,"[-0.1, 0.1]"
2.5,0.007559285441631187,"[-0.25, 0.25]"
2.5,6.551818320454627e-5,"[-0.5, 0.5]"
2.5,3.5297581351211695e-7,"[-0.75, 0.75]"
2.5,1.531199724714858e-9,"[-1, 1]"
3,0.03025349072428017,"[-0.1, 0.1]"
3,0.006155542292043393,"[-0.25, 0.25]"
3,2.6082224924273622e-5,"[-0.5, 0.5]"
3,7.716156859107082e-8,"[-0.75, 0.75]"
3,2.337404207075824e-10,"[-1, 1]"
3.5,0.028002438392804287,"[-0.1, 0.1]"
3.5,0.005153988008962435,"[-0.25, 0.25]"
3.5,4.845827689531021e-5,"[-0.5, 0.5]"
3.5,3.05517400260895e-7,"[-0.75, 0.75]"
3.5,1.7517674834757232e-9,"[-1, 1]"
